"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"pob_activa";"resto_poblacion";"ed_superior_porcentaje"
"344";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2005;1250;9862;0,126749138105861
"345";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2006;1261;9978;0,126378031669673
"346";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2007;1279;10094;0,126708936001585
"347";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2008;1294;10220;0,126614481409002
"348";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2009;1307;10341;0,126390097669471
"349";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2010;1320;10461;0,126182965299685
"350";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2011;1331;10588;0,125708349074424
"351";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2012;1338;10714;0,124883330222139
"352";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2013;1337;10862;0,123089670410606
"353";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2014;1330;11032;0,120558375634518
"354";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2015;1311;11199;0,117064023573533
"355";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2016;1296;11361;0,114074465275944
"356";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2017;1285;11546;0,111293954616317
"357";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2018;1306;11772;0,110941216445804
"358";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2019;1324;12047;0,109902880385158
"359";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2020;1334;12323;0,108252860504747
"360";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2021;1308;12498;0,104656745079213
"361";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2022;1265;12618;0,10025360595974
"362";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2023;1225;12704;0,096426322418136
"363";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2024;1197;12770;0,0937353171495693
"364";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2025;1181;12818;0,0921360586674988
"365";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2026;1175;12852;0,0914254590725179
"366";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2027;1171;12879;0,0909232083236276
"367";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2028;1170;12899;0,0907047057911466
"368";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2029;1169;12914;0,0905219142016416
"369";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2030;1169;12924;0,0904518724852987
"370";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2031;1166;12937;0,0901290871144779
"371";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2032;1160;12946;0,0896029661671559
"372";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2033;1142;12963;0,0880968911517396
"373";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2034;1103;12997;0,0848657382472878
"374";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2035;1069;13021;0,082098149143691
"375";2;"Antofagasta";22;"El Loa";2201;"Calama";2002;17943;124268;0,144389545176554
"376";2;"Antofagasta";22;"El Loa";2201;"Calama";2003;17984;126092;0,142626019097167
"377";2;"Antofagasta";22;"El Loa";2201;"Calama";2004;18135;127781;0,141922508041102
"378";2;"Antofagasta";22;"El Loa";2201;"Calama";2005;18375;129306;0,142104774720431
"379";2;"Antofagasta";22;"El Loa";2201;"Calama";2006;18688;130754;0,142924881839179
"380";2;"Antofagasta";22;"El Loa";2201;"Calama";2007;19038;132258;0,14394592387606
"381";2;"Antofagasta";22;"El Loa";2201;"Calama";2008;19393;133842;0,144894726617953
"382";2;"Antofagasta";22;"El Loa";2201;"Calama";2009;19720;135395;0,145647919051664
"383";2;"Antofagasta";22;"El Loa";2201;"Calama";2010;20008;136970;0,146075783018179
"384";2;"Antofagasta";22;"El Loa";2201;"Calama";2011;20320;138592;0,146617409374278
"385";2;"Antofagasta";22;"El Loa";2201;"Calama";2012;20529;140265;0,146358678216234
"386";2;"Antofagasta";22;"El Loa";2201;"Calama";2013;20642;142225;0,145136227808051
"387";2;"Antofagasta";22;"El Loa";2201;"Calama";2014;20674;144510;0,143062763822573
"388";2;"Antofagasta";22;"El Loa";2201;"Calama";2015;20538;146746;0,139956114647077
"389";2;"Antofagasta";22;"El Loa";2201;"Calama";2016;20391;148994;0,136857860048056
"390";2;"Antofagasta";22;"El Loa";2201;"Calama";2017;20347;151528;0,134278813156644
"391";2;"Antofagasta";22;"El Loa";2201;"Calama";2018;20966;156676;0,133817559804948
"392";2;"Antofagasta";22;"El Loa";2201;"Calama";2019;21541;162495;0,132564078894735
"393";2;"Antofagasta";22;"El Loa";2201;"Calama";2020;21974;168362;0,1305163873083
"394";2;"Antofagasta";22;"El Loa";2201;"Calama";2021;21636;171707;0,126005346316691
"395";2;"Antofagasta";22;"El Loa";2201;"Calama";2022;20981;173594;0,120862472205261
"396";2;"Antofagasta";22;"El Loa";2201;"Calama";2023;20368;175055;0,116352003655994
"397";2;"Antofagasta";22;"El Loa";2201;"Calama";2024;19967;176185;0,113329738627011
"398";2;"Antofagasta";22;"El Loa";2201;"Calama";2025;19756;177064;0,11157547553427
"399";2;"Antofagasta";22;"El Loa";2201;"Calama";2026;19687;177751;0,110756057631181
"400";2;"Antofagasta";22;"El Loa";2201;"Calama";2027;19690;178318;0,110420709070313
"401";2;"Antofagasta";22;"El Loa";2201;"Calama";2028;19717;178808;0,110269115475818
"402";2;"Antofagasta";22;"El Loa";2201;"Calama";2029;19740;179251;0,11012490864765
"403";2;"Antofagasta";22;"El Loa";2201;"Calama";2030;19811;179596;0,110308692843939
"404";2;"Antofagasta";22;"El Loa";2201;"Calama";2031;19865;179977;0,110375214610756
"405";2;"Antofagasta";22;"El Loa";2201;"Calama";2032;19858;180323;0,110124609728099
"406";2;"Antofagasta";22;"El Loa";2201;"Calama";2033;19628;180846;0,108534333078973
"407";2;"Antofagasta";22;"El Loa";2201;"Calama";2034;19089;181624;0,105101748667577
"408";2;"Antofagasta";22;"El Loa";2201;"Calama";2035;18542;182358;0,101679114708431
"409";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2002;48;374;0,128342245989305
"410";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2003;44;360;0,122222222222222
"411";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2004;42;345;0,121739130434783
"412";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2005;39;335;0,116417910447761
"413";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2006;37;325;0,113846153846154
"414";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2007;36;314;0,114649681528662
"415";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2008;33;305;0,108196721311475
"416";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2009;32;297;0,107744107744108
"417";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2010;30;290;0,103448275862069
"418";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2011;27;286;0,0944055944055944
"419";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2012;26;280;0,0928571428571429
"420";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2013;25;275;0,0909090909090909
"421";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2014;23;272;0,0845588235294118
"422";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2015;22;267;0,0823970037453183
"423";2;"Antofagasta";22;"El Loa";2202;"Ollagüe";2016;21;264;0,0795454545454545
